,Date,Petrol (USD),Year,Month,Day
125,2005-10-31,92.47,2005,10,31
126,2005-11-07,92.47,2005,11,7
127,2005-11-14,90.53,2005,11,14
128,2005-11-21,88.61,2005,11,21
129,2005-11-28,87.35,2005,11,28
130,2005-12-05,87.35,2005,12,5
131,2005-12-12,87.2,2005,12,12
132,2005-12-19,87.56,2005,12,19
133,2005-12-26,87.88,2005,12,26
134,2006-01-02,88.03,2006,1,2
135,2006-01-09,88.56,2006,1,9
136,2006-01-16,89.01,2006,1,16
137,2006-01-23,89.55,2006,1,23
138,2006-01-30,89.88,2006,1,30
139,2006-02-06,89.73,2006,2,6
140,2006-02-13,89.65,2006,2,13
141,2006-02-20,89.6,2006,2,20
142,2006-03-06,89.37,2006,3,6
143,2006-03-06,89.37,2006,3,6
144,2006-03-13,89.55,2006,3,13
145,2006-03-20,90.19,2006,3,20
146,2006-03-27,91.16,2006,3,27
147,2006-04-03,91.78,2006,4,3
148,2006-04-10,92.77,2006,4,10
149,2006-04-18,94.23,2006,4,18
150,2006-04-24,95.35,2006,4,24
151,2006-05-01,96.13,2006,5,1
152,2006-05-08,96.46,2006,5,8
153,2006-05-15,96.39,2006,5,15
154,2006-05-22,96.1,2006,5,22
155,2006-05-29,95.36,2006,5,29
156,2006-06-05,95.24,2006,6,5
157,2006-06-12,95.49,2006,6,12
158,2006-06-19,95.44,2006,6,19
159,2006-06-26,94.97,2006,6,26
160,2006-07-03,95.27,2006,7,3
161,2006-07-10,95.69,2006,7,10
162,2006-07-17,96.88,2006,7,17
163,2006-07-24,97.78,2006,7,24
164,2006-07-31,97.83,2006,7,31
165,2006-08-07,98.05,2006,8,7
166,2006-08-14,97.82,2006,8,14
167,2006-08-21,95.74,2006,8,21
168,2006-08-28,94.4,2006,8,28
169,2006-09-04,92.88,2006,9,4
170,2006-09-11,91.48,2006,9,11
171,2006-09-18,89.78,2006,9,18
172,2006-09-25,88.2,2006,9,25
173,2006-10-02,86.95,2006,10,2
174,2006-10-09,86.6,2006,10,9
175,2006-10-16,85.91,2006,10,16
176,2006-10-23,85.74,2006,10,23
177,2006-10-30,85.6,2006,10,30
178,2006-11-06,85.54,2006,11,6
179,2006-11-13,85.49,2006,11,13
180,2006-11-20,85.47,2006,11,20
181,2006-11-27,85.47,2006,11,27
182,2006-12-04,85.46,2006,12,4
183,2006-12-11,87.44,2006,12,11
184,2006-12-18,87.7,2006,12,18
185,2006-12-25,87.9,2006,12,25
186,2007-01-01,87.85,2007,1,1
187,2007-01-08,87.66,2007,1,8
188,2007-01-15,87.1,2007,1,15
189,2007-01-22,86.28,2007,1,22
190,2007-01-29,85.66,2007,1,29
191,2007-02-05,85.62,2007,2,5
192,2007-02-12,86.12,2007,2,12
193,2007-02-19,86.6,2007,2,19
194,2007-02-26,87.07,2007,2,26
195,2007-03-05,87.74,2007,3,5
196,2007-03-12,88.48,2007,3,12
197,2007-03-19,88.93,2007,3,19
198,2007-03-26,89.32,2007,3,26
199,2007-04-02,90.47,2007,4,2
200,2007-04-10,91.18,2007,4,10
201,2007-04-16,91.99,2007,4,16
202,2007-04-23,92.93,2007,4,23
203,2007-04-30,93.45,2007,4,30
204,2007-05-07,94.43,2007,5,7
205,2007-05-14,95.07,2007,5,14
206,2007-05-21,95.71,2007,5,21
207,2007-05-28,96.16,2007,5,28
208,2007-06-04,96.51,2007,6,4
209,2007-06-11,96.61,2007,6,11
210,2007-06-18,96.56,2007,6,18
211,2007-06-25,96.54,2007,6,25
212,2007-07-02,96.36,2007,7,2
213,2007-07-09,96.2,2007,7,9
214,2007-07-16,96.21,2007,7,16
215,2007-07-23,96.23,2007,7,23
216,2007-07-30,96.2,2007,7,30
217,2007-08-06,96.15,2007,8,6
218,2007-08-13,96.0,2007,8,13
219,2007-08-20,95.31,2007,8,20
220,2007-08-27,95.0,2007,8,27
221,2007-09-03,94.8,2007,9,3
222,2007-09-10,94.63,2007,9,10
223,2007-09-17,94.65,2007,9,17
224,2007-09-24,94.91,2007,9,24
225,2007-10-01,96.39,2007,10,1
226,2007-10-08,97.14,2007,10,8
227,2007-10-15,97.19,2007,10,15
228,2007-10-22,97.81,2007,10,22
229,2007-10-29,98.26,2007,10,29
230,2007-11-05,99.36,2007,11,5
231,2007-11-12,100.74,2007,11,12
232,2007-11-19,101.47,2007,11,19
233,2007-11-26,102.13,2007,11,26
234,2007-12-03,102.58,2007,12,3
235,2007-12-10,102.67,2007,12,10
236,2007-12-17,102.6,2007,12,17
237,2007-12-24,102.53,2007,12,24
238,2007-12-31,102.66,2007,12,31
239,2008-01-07,103.37,2008,1,7
240,2008-01-14,103.82,2008,1,14
241,2008-01-21,104.22,2008,1,21
242,2008-01-28,104.22,2008,1,28
243,2008-02-04,104.03,2008,2,4
244,2008-02-11,103.67,2008,2,11
245,2008-02-18,103.7,2008,2,18
246,2008-02-25,104.65,2008,2,25
247,2008-03-03,105.24,2008,3,3
248,2008-03-10,105.96,2008,3,10
249,2008-03-17,106.41,2008,3,17
250,2008-03-24,106.9,2008,3,24
251,2008-03-31,107.1,2008,3,31
252,2008-04-07,107.24,2008,4,7
253,2008-04-14,107.61,2008,4,14
254,2008-04-21,108.57,2008,4,21
255,2008-04-28,109.5,2008,4,28
256,2008-05-05,110.3,2008,5,5
257,2008-05-12,111.04,2008,5,12
258,2008-05-19,112.96,2008,5,19
259,2008-05-26,114.79,2008,5,26
260,2008-06-02,116.03,2008,6,2
261,2008-06-09,116.86,2008,6,9
262,2008-06-16,117.69,2008,6,16
263,2008-06-23,118.44,2008,6,23
264,2008-06-30,118.84,2008,6,30
265,2008-07-07,119.28,2008,7,7
266,2008-07-14,119.44,2008,7,14
267,2008-07-21,119.4,2008,7,21
268,2008-07-28,116.91,2008,7,28
269,2008-08-04,115.06,2008,8,4
270,2008-08-11,113.92,2008,8,11
271,2008-08-18,112.22,2008,8,18
272,2008-08-25,112.02,2008,8,25
273,2008-09-01,112.2,2008,9,1
274,2008-09-08,112.55,2008,9,8
275,2008-09-15,112.51,2008,9,15
276,2008-09-22,110.81,2008,9,22
277,2008-09-29,109.85,2008,9,29
278,2008-10-06,109.45,2008,10,6
279,2008-10-13,107.04,2008,10,13
280,2008-10-20,102.66,2008,10,20
281,2008-10-27,98.62,2008,10,27
282,2008-11-03,97.4,2008,11,3
283,2008-11-10,95.89,2008,11,10
284,2008-11-17,94.83,2008,11,17
285,2008-11-24,92.79,2008,11,24
286,2008-12-01,91.47,2008,12,1
287,2008-12-08,90.16,2008,12,8
288,2008-12-15,89.07,2008,12,15
289,2008-12-22,88.01,2008,12,22
290,2008-12-29,87.34,2008,12,29
291,2009-01-05,85.42,2009,1,5
292,2009-01-12,86.02,2009,1,12
293,2009-01-19,86.19,2009,1,19
294,2009-01-26,87.42,2009,1,26
295,2009-02-02,88.16,2009,2,2
296,2009-02-09,89.28,2009,2,9
297,2009-02-16,90.12,2009,2,16
298,2009-02-23,90.33,2009,2,23
299,2009-03-02,90.28,2009,3,2
300,2009-03-09,90.15,2009,3,9
301,2009-03-16,90.16,2009,3,16
302,2009-03-23,90.16,2009,3,23
303,2009-03-30,91.35,2009,3,30
304,2009-04-06,93.72,2009,4,6
305,2009-04-13,94.11,2009,4,13
306,2009-04-20,94.62,2009,4,20
307,2009-04-27,95.13,2009,4,27
308,2009-05-04,95.6,2009,5,4
309,2009-05-11,96.59,2009,5,11
310,2009-05-18,97.54,2009,5,18
311,2009-05-25,98.9,2009,5,25
312,2009-06-01,99.39,2009,6,1
313,2009-06-08,100.59,2009,6,8
314,2009-06-15,101.98,2009,6,15
315,2009-06-22,102.81,2009,6,22
316,2009-06-29,103.3,2009,6,29
317,2009-07-06,103.57,2009,7,6
318,2009-07-13,102.78,2009,7,13
319,2009-07-20,102.22,2009,7,20
320,2009-07-27,102.17,2009,7,27
321,2009-08-03,102.36,2009,8,3
322,2009-08-10,103.01,2009,8,10
323,2009-08-17,103.96,2009,8,17
324,2009-08-24,104.7,2009,8,24
325,2009-08-31,105.11,2009,8,31
326,2009-09-07,106.85,2009,9,7
327,2009-09-14,106.43,2009,9,14
328,2009-09-21,105.96,2009,9,21
329,2009-09-28,105.44,2009,9,28
330,2009-10-05,104.87,2009,10,5
331,2009-10-12,104.71,2009,10,12
332,2009-10-19,105.08,2009,10,19
333,2009-10-26,106.76,2009,10,26
334,2009-11-02,107.43,2009,11,2
335,2009-11-09,108.1,2009,11,9
336,2009-11-16,108.48,2009,11,16
337,2009-11-23,108.73,2009,11,23
338,2009-11-30,108.79,2009,11,30
339,2009-12-07,108.64,2009,12,7
340,2009-12-14,108.5,2009,12,14
341,2009-12-21,107.47,2009,12,21
342,2009-12-28,107.44,2009,12,28
343,2010-01-04,109.34,2010,1,4
344,2010-01-11,110.72,2010,1,11
345,2010-01-18,111.6,2010,1,18
346,2010-01-25,111.87,2010,1,25
347,2010-02-01,111.91,2010,2,1
348,2010-02-08,111.95,2010,2,8
349,2010-02-15,111.89,2010,2,15
350,2010-02-22,111.56,2010,2,22
351,2010-03-01,112.42,2010,3,1
352,2010-03-08,113.71,2010,3,8
353,2010-03-15,115.46,2010,3,15
354,2010-03-22,116.59,2010,3,22
355,2010-03-29,117.28,2010,3,29
356,2010-04-05,119.29,2010,4,5
357,2010-04-12,119.94,2010,4,12
358,2010-04-19,120.55,2010,4,19
359,2010-04-26,120.99,2010,4,26
360,2010-05-03,121.18,2010,5,3
361,2010-05-10,121.31,2010,5,10
362,2010-05-17,121.3,2010,5,17
363,2010-05-24,119.93,2010,5,24
364,2010-05-31,118.54,2010,5,31
365,2010-06-07,118.2,2010,6,7
366,2010-06-14,117.87,2010,6,14
367,2010-06-21,117.8,2010,6,21
368,2010-06-28,117.88,2010,6,28
369,2010-07-05,117.91,2010,7,5
370,2010-07-12,117.39,2010,7,12
371,2010-07-19,116.85,2010,7,19
372,2010-07-26,116.61,2010,7,26
373,2010-08-02,116.51,2010,8,2
374,2010-08-09,116.35,2010,8,9
375,2010-08-16,116.34,2010,8,16
376,2010-08-23,115.64,2010,8,23
377,2010-08-30,114.98,2010,8,30
378,2010-09-06,114.59,2010,9,6
379,2010-09-13,114.66,2010,9,13
380,2010-09-20,115.06,2010,9,20
381,2010-09-27,115.39,2010,9,27
382,2010-10-04,116.01,2010,10,4
383,2010-10-11,116.78,2010,10,11
384,2010-10-18,117.28,2010,10,18
385,2010-10-25,117.74,2010,10,25
386,2010-11-01,118.18,2010,11,1
387,2010-11-08,118.67,2010,11,8
388,2010-11-15,118.8,2010,11,15
389,2010-11-22,118.99,2010,11,22
390,2010-11-29,119.21,2010,11,29
391,2010-12-06,120.54,2010,12,6
392,2010-12-13,121.68,2010,12,13
393,2010-12-20,122.31,2010,12,20
394,2010-12-27,123.44,2010,12,27
395,2011-01-03,124.85,2011,1,3
396,2011-01-10,127.4,2011,1,10
397,2011-01-17,127.87,2011,1,17
398,2011-01-24,128.35,2011,1,24
399,2011-01-31,128.55,2011,1,31
400,2011-02-07,128.64,2011,2,7
401,2011-02-14,128.73,2011,2,14
402,2011-02-21,128.92,2011,2,21
403,2011-02-28,129.72,2011,2,28
404,2011-03-07,131.28,2011,3,7
405,2011-03-14,132.18,2011,3,14
406,2011-03-21,133.11,2011,3,21
407,2011-03-28,132.44,2011,3,28
408,2011-04-04,132.81,2011,4,4
409,2011-04-11,133.68,2011,4,11
410,2011-04-18,135.06,2011,4,18
411,2011-04-25,135.62,2011,4,25
412,2011-05-02,136.29,2011,5,2
413,2011-05-09,137.05,2011,5,9
414,2011-05-16,136.4,2011,5,16
415,2011-05-23,136.11,2011,5,23
416,2011-05-30,135.57,2011,5,30
417,2011-06-06,135.62,2011,6,6
418,2011-06-13,135.86,2011,6,13
419,2011-06-20,136.03,2011,6,20
420,2011-06-27,134.86,2011,6,27
421,2011-07-04,133.43,2011,7,4
422,2011-07-11,134.18,2011,7,11
423,2011-07-18,134.97,2011,7,18
424,2011-07-25,135.66,2011,7,25
425,2011-08-01,136.07,2011,8,1
426,2011-08-08,136.46,2011,8,8
427,2011-08-15,135.95,2011,8,15
428,2011-08-22,134.56,2011,8,22
429,2011-08-29,134.32,2011,8,29
430,2011-09-05,134.62,2011,9,5
431,2011-09-12,135.0,2011,9,12
432,2011-09-19,135.4,2011,9,19
433,2011-09-26,135.65,2011,9,26
434,2011-10-03,135.02,2011,10,3
435,2011-10-10,134.47,2011,10,10
436,2011-10-17,134.49,2011,10,17
437,2011-10-24,134.66,2011,10,24
438,2011-10-31,134.73,2011,10,31
439,2011-11-07,134.41,2011,11,7
440,2011-11-14,133.68,2011,11,14
441,2011-11-21,133.38,2011,11,21
442,2011-11-28,133.17,2011,11,28
443,2011-12-05,132.78,2011,12,5
444,2011-12-12,132.53,2011,12,12
445,2011-12-19,132.49,2011,12,19
446,2011-12-26,132.41,2011,12,26
447,2012-01-02,132.4,2012,1,2
448,2012-01-09,132.68,2012,1,9
449,2012-01-16,133.29,2012,1,16
450,2012-01-23,133.72,2012,1,23
451,2012-01-30,134.1,2012,1,30
452,2012-02-06,134.25,2012,2,6
453,2012-02-13,134.9,2012,2,13
454,2012-02-20,135.21,2012,2,20
455,2012-02-27,136.21,2012,2,27
456,2012-03-05,137.3,2012,3,5
457,2012-03-12,137.9,2012,3,12
458,2012-03-19,138.96,2012,3,19
459,2012-03-26,139.48,2012,3,26
460,2012-04-02,140.99,2012,4,2
461,2012-04-09,141.97,2012,4,9
462,2012-04-16,142.17,2012,4,16
463,2012-04-23,141.76,2012,4,23
464,2012-04-30,141.0,2012,4,30
465,2012-05-07,140.14,2012,5,7
466,2012-05-14,138.29,2012,5,14
467,2012-05-21,135.77,2012,5,21
468,2012-05-28,134.37,2012,5,28
469,2012-06-04,134.06,2012,6,4
470,2012-06-11,133.67,2012,6,11
471,2012-06-18,131.99,2012,6,18
472,2012-06-25,131.55,2012,6,25
473,2012-07-02,130.5,2012,7,2
474,2012-07-09,131.06,2012,7,9
475,2012-07-16,131.49,2012,7,16
476,2012-07-23,132.21,2012,7,23
477,2012-07-30,132.78,2012,7,30
478,2012-08-06,133.39,2012,8,6
479,2012-08-13,134.27,2012,8,13
480,2012-08-20,135.72,2012,8,20
481,2012-08-27,137.1,2012,8,27
482,2012-09-03,138.03,2012,9,3
483,2012-09-10,138.91,2012,9,10
484,2012-09-17,139.42,2012,9,17
485,2012-09-24,139.54,2012,9,24
486,2012-10-01,138.43,2012,10,1
487,2012-10-08,138.24,2012,10,8
488,2012-10-15,138.35,2012,10,15
489,2012-10-22,138.29,2012,10,22
490,2012-10-29,136.98,2012,10,29
491,2012-11-05,136.43,2012,11,5
492,2012-11-12,135.09,2012,11,12
493,2012-11-19,134.56,2012,11,19
494,2012-11-26,134.38,2012,11,26
495,2012-12-03,133.05,2012,12,3
496,2012-12-10,132.55,2012,12,10
497,2012-12-17,131.98,2012,12,17
498,2012-12-24,131.95,2012,12,24
499,2012-12-31,131.92,2012,12,31
500,2013-01-07,131.86,2013,1,7
501,2013-01-14,132.0,2013,1,14
502,2013-01-21,132.21,2013,1,21
503,2013-01-28,132.95,2013,1,28
504,2013-02-04,134.38,2013,2,4
505,2013-02-11,135.56,2013,2,11
506,2013-02-18,136.86,2013,2,18
507,2013-02-25,138.5,2013,2,25
508,2013-03-04,139.47,2013,3,4
509,2013-03-11,140.0,2013,3,11
510,2013-03-18,137.58,2013,3,18
511,2013-03-25,137.09,2013,3,25
512,2013-04-01,137.3,2013,4,1
513,2013-04-08,137.31,2013,4,8
514,2013-04-15,137.11,2013,4,15
515,2013-04-22,135.68,2013,4,22
516,2013-04-29,134.66,2013,4,29
517,2013-05-06,133.42,2013,5,6
518,2013-05-13,133.12,2013,5,13
519,2013-05-20,133.17,2013,5,20
520,2013-05-27,133.64,2013,5,27
521,2013-06-03,134.04,2013,6,3
522,2013-06-10,134.3,2013,6,10
523,2013-06-17,134.46,2013,6,17
524,2013-06-24,134.52,2013,6,24
525,2013-07-01,133.44,2013,7,1
526,2013-07-08,133.77,2013,7,8
527,2013-07-15,134.95,2013,7,15
528,2013-07-22,136.04,2013,7,22
529,2013-07-29,136.87,2013,7,29
530,2013-08-05,137.02,2013,8,5
531,2013-08-12,137.13,2013,8,12
532,2013-08-19,137.0,2013,8,19
533,2013-08-28,136.83,2013,8,28
534,2013-09-02,137.14,2013,9,2
535,2013-09-09,137.6,2013,9,9
536,2013-09-16,137.47,2013,9,16
537,2013-09-23,136.95,2013,9,23
538,2013-09-30,133.4,2013,9,30
539,2013-10-07,131.62,2013,10,7
540,2013-10-14,131.67,2013,10,14
541,2013-10-21,131.53,2013,10,21
542,2013-10-28,131.42,2013,10,28
543,2013-11-04,129.92,2013,11,4
544,2013-11-11,129.71,2013,11,11
545,2013-11-18,129.89,2013,11,18
546,2013-11-25,130.03,2013,11,25
547,2013-12-02,130.25,2013,12,2
548,2013-12-09,130.76,2013,12,9
549,2013-12-16,130.96,2013,12,16
550,2013-12-23,130.05,2013,12,23
551,2013-12-30,130.03,2013,12,30
552,2014-01-06,130.26,2014,1,6
553,2014-01-13,130.36,2014,1,13
554,2014-01-20,129.37,2014,1,20
555,2014-01-27,129.02,2014,1,27
556,2014-02-03,128.85,2014,2,3
557,2014-02-10,128.81,2014,2,10
558,2014-02-17,129.16,2014,2,17
559,2014-02-24,129.2,2014,2,24
560,2014-03-03,129.36,2014,3,3
561,2014-03-10,129.39,2014,3,10
562,2014-03-17,128.76,2014,3,17
563,2014-03-24,128.57,2014,3,24
564,2014-03-31,128.76,2014,3,31
565,2014-04-07,128.71,2014,4,7
566,2014-04-14,128.89,2014,4,14
567,2014-04-21,129.11,2014,4,21
568,2014-04-28,129.09,2014,4,28
569,2014-05-05,129.27,2014,5,5
570,2014-05-12,129.5,2014,5,12
571,2014-05-19,129.42,2014,5,19
572,2014-05-26,129.51,2014,5,26
573,2014-06-02,129.63,2014,6,2
574,2014-06-09,129.69,2014,6,9
575,2014-06-16,129.88,2014,6,16
576,2014-06-23,130.14,2014,6,23
577,2014-06-30,130.69,2014,6,30
578,2014-07-07,131.1,2014,7,7
579,2014-07-14,131.11,2014,7,14
580,2014-07-21,131.04,2014,7,21
581,2014-07-28,130.83,2014,7,28
582,2014-08-04,129.63,2014,8,4
583,2014-08-11,129.41,2014,8,11
584,2014-08-18,129.29,2014,8,18
585,2014-08-25,128.34,2014,8,25
586,2014-09-01,128.01,2014,9,1
587,2014-09-08,128.34,2014,9,8
588,2014-09-15,128.43,2014,9,15
589,2014-09-22,128.62,2014,9,22
590,2014-09-29,128.59,2014,9,29
591,2014-10-06,126.78,2014,10,6
592,2014-10-13,126.5,2014,10,13
593,2014-10-20,125.4,2014,10,20
594,2014-10-27,125.11,2014,10,27
595,2014-11-03,123.94,2014,11,3
596,2014-11-10,122.94,2014,11,10
597,2014-11-17,122.5,2014,11,17
598,2014-11-24,122.29,2014,11,24
599,2014-12-01,121.18,2014,12,1
600,2014-12-08,119.83,2014,12,8
601,2014-12-15,116.3,2014,12,15
602,2014-12-22,113.66,2014,12,22
603,2014-12-29,113.16,2014,12,29
604,2015-01-05,111.06,2015,1,5
605,2015-01-12,108.87,2015,1,12
606,2015-01-19,106.83,2015,1,19
607,2015-01-26,106.32,2015,1,26
608,2015-02-02,106.04,2015,2,2
609,2015-02-09,106.35,2015,2,9
610,2015-02-16,107.26,2015,2,16
611,2015-02-23,108.34,2015,2,23
612,2015-03-02,109.2,2015,3,2
613,2015-03-09,110.07,2015,3,9
614,2015-03-16,111.04,2015,3,16
615,2015-03-23,111.65,2015,3,23
616,2015-03-30,112.06,2015,3,30
617,2015-04-06,112.37,2015,4,6
618,2015-04-13,112.52,2015,4,13
619,2015-04-20,112.87,2015,4,20
620,2015-04-27,113.55,2015,4,27
621,2015-05-04,114.27,2015,5,4
622,2015-05-11,115.1,2015,5,11
623,2015-05-18,115.74,2015,5,18
624,2015-05-25,116.02,2015,5,25
625,2015-06-01,116.13,2015,6,1
626,2015-06-08,116.26,2015,6,8
627,2015-06-15,116.39,2015,6,15
628,2015-06-22,116.6,2015,6,22
629,2015-06-29,116.55,2015,6,29
630,2015-07-06,116.34,2015,7,6
631,2015-07-13,116.41,2015,7,13
632,2015-07-20,116.79,2015,7,20
633,2015-07-27,116.44,2015,7,27
634,2015-08-03,116.12,2015,8,3
635,2015-08-10,115.48,2015,8,10
636,2015-08-17,114.58,2015,8,17
637,2015-08-24,113.23,2015,8,24
638,2015-08-31,111.21,2015,8,31
639,2015-09-07,110.9,2015,9,7
640,2015-09-14,110.6,2015,9,14
641,2015-09-21,110.61,2015,9,21
642,2015-09-28,109.47,2015,9,28
643,2015-10-05,108.94,2015,10,5
644,2015-10-12,108.97,2015,10,12
645,2015-10-19,109.01,2015,10,19
646,2015-10-26,108.04,2015,10,26
647,2015-11-02,107.21,2015,11,2
648,2015-11-09,107.14,2015,11,9
649,2015-11-16,107.36,2015,11,16
650,2015-11-23,107.29,2015,11,23
651,2015-11-30,106.97,2015,11,30
652,2015-12-07,106.75,2015,12,7
653,2015-12-14,104.0,2015,12,14
654,2015-12-21,102.33,2015,12,21
655,2015-12-28,102.11,2015,12,28
656,2016-01-04,102.0,2016,1,4
657,2016-01-11,101.89,2016,1,11
658,2016-01-18,101.8,2016,1,18
659,2016-01-25,101.42,2016,1,25
660,2016-02-01,101.36,2016,2,1
661,2016-02-08,101.51,2016,2,8
662,2016-02-15,101.45,2016,2,15
663,2016-02-22,101.39,2016,2,22
664,2016-02-29,101.42,2016,2,29
665,2016-03-07,101.46,2016,3,7
666,2016-03-14,101.71,2016,3,14
667,2016-03-21,102.58,2016,3,21
668,2016-03-28,103.4,2016,3,28
669,2016-04-04,104.51,2016,4,4
670,2016-04-11,105.39,2016,4,11
671,2016-04-18,106.41,2016,4,18
672,2016-04-25,107.14,2016,4,25
673,2016-05-02,107.82,2016,5,2
674,2016-05-09,108.19,2016,5,9
675,2016-05-16,108.53,2016,5,16
676,2016-05-23,109.12,2016,5,23
677,2016-05-30,109.79,2016,5,30
678,2016-06-06,110.4,2016,6,6
679,2016-06-13,111.03,2016,6,13
680,2016-06-20,111.22,2016,6,20
681,2016-06-27,111.44,2016,6,27
682,2016-07-04,111.65,2016,7,4
683,2016-07-11,111.89,2016,7,11
684,2016-07-18,111.92,2016,7,18
685,2016-07-25,111.69,2016,7,25
686,2016-08-01,111.05,2016,8,1
687,2016-08-08,109.75,2016,8,8
688,2016-08-15,109.28,2016,8,15
689,2016-08-22,109.63,2016,8,22
690,2016-08-29,110.43,2016,8,29
691,2016-09-05,110.97,2016,9,5
692,2016-09-12,111.31,2016,9,12
693,2016-09-19,111.29,2016,9,19
694,2016-09-26,111.36,2016,9,26
695,2016-10-03,111.65,2016,10,3
696,2016-10-10,112.35,2016,10,10
